TC,TC,TC,msTime
83,0,0,1579748383544
83,0,0,1579748383564
83,0,0,1579748383584
83,0,0,1579748383604
83,0,0,1579748383624
83,0,0,1579748383644
83,0,0,1579748383664
83,0,0,1579748383684
83,0,0,1579748383704
83,0,0,1579748383724
83,0,0,1579748383744
82,0,0,1579748383764
82,0,0,1579748383784
82,0,0,1579748383804
82,0,0,1579748383824
82,0,0,1579748383844
83,0,0,1579748383864
83,0,0,1579748383884
83,0,0,1579748383904
83,0,0,1579748383924
83,0,0,1579748383944
83,0,0,1579748383964
83,0,0,1579748383984
83,0,0,1579748384004
83,0,0,1579748384024
83,0,0,1579748384044
83,0,0,1579748384064
82,0,0,1579748384084
82,0,0,1579748384104
82,0,0,1579748384124
82,0,0,1579748384144
82,0,0,1579748384164
82,0,0,1579748384184
82,0,0,1579748384204
82,0,0,1579748384224
82,0,0,1579748384244
82,0,0,1579748384264
82,0,0,1579748384284
82,0,0,1579748384304
82,0,0,1579748384324
82,0,0,1579748384344
82,0,0,1579748384364
82,0,0,1579748384384
83,0,0,1579748384404
83,0,0,1579748384424
83,0,0,1579748384444
83,0,0,1579748384464
83,0,0,1579748384484
82,0,0,1579748384504
82,0,0,1579748384524
82,0,0,1579748384544
82,0,0,1579748384564
82,0,0,1579748384584
82,0,0,1579748384604
82,0,0,1579748384624
82,0,0,1579748384644
82,0,0,1579748384664
82,0,0,1579748384684
82,0,0,1579748384704
82,0,0,1579748384724
82,0,0,1579748384744
82,0,0,1579748384764
82,0,0,1579748384784
82,0,0,1579748384804
83,0,0,1579748384824
83,0,0,1579748384844
83,0,0,1579748384864
83,0,0,1579748384884
83,0,0,1579748384904
83,0,0,1579748384924
83,0,0,1579748384944
83,0,0,1579748384964
83,0,0,1579748384984
83,0,0,1579748385004
83,0,0,1579748385024
82,0,0,1579748385044
82,0,0,1579748385064
82,0,0,1579748385084
82,0,0,1579748385104
82,0,0,1579748385124
83,0,0,1579748385144
83,0,0,1579748385164
83,0,0,1579748385184
83,0,0,1579748385204
83,0,0,1579748385224
82,0,0,1579748385244
82,0,0,1579748385264
82,0,0,1579748385284
82,0,0,1579748385304
82,0,0,1579748385324
82,0,0,1579748385344
82,0,0,1579748385364
82,0,0,1579748385384
82,0,0,1579748385404
82,0,0,1579748385424
82,0,0,1579748385444
82,0,0,1579748385464
82,0,0,1579748385484
82,0,0,1579748385504
82,0,0,1579748385524
82,0,0,1579748385544
82,0,0,1579748385564
82,0,0,1579748385584
82,0,0,1579748385604
82,0,0,1579748385624
82,0,0,1579748385644
82,0,0,1579748385664
82,0,0,1579748385684
82,0,0,1579748385704
82,0,0,1579748385724
82,0,0,1579748385744
82,0,0,1579748385764
82,0,0,1579748385784
82,0,0,1579748385804
82,0,0,1579748385824
82,0,0,1579748385844
82,0,0,1579748385864
82,0,0,1579748385884
82,0,0,1579748385904
82,0,0,1579748385924
82,0,0,1579748385944
82,0,0,1579748385964
82,0,0,1579748385984
83,0,0,1579748386004
83,0,0,1579748386024
83,0,0,1579748386044
83,0,0,1579748386064
83,0,0,1579748386084
82,0,0,1579748386104
82,0,0,1579748386124
82,0,0,1579748386144
82,0,0,1579748386164
82,0,0,1579748386184
82,0,0,1579748386204
82,0,0,1579748386224
82,0,0,1579748386244
82,0,0,1579748386264
82,0,0,1579748386284
82,0,0,1579748386304
82,0,0,1579748386324
82,0,0,1579748386344
82,0,0,1579748386364
82,0,0,1579748386384
82,0,0,1579748386404
82,0,0,1579748386424
82,0,0,1579748386444
82,0,0,1579748386464
82,0,0,1579748386484
82,0,0,1579748386504
82,0,0,1579748386524
82,0,0,1579748386544
82,0,0,1579748386564
82,0,0,1579748386584
82,0,0,1579748386604
82,0,0,1579748386624
83,0,0,1579748386644
83,0,0,1579748386664
83,0,0,1579748386684
83,0,0,1579748386704
83,0,0,1579748386724
82,0,0,1579748386744
82,0,0,1579748386764
82,0,0,1579748386784
82,0,0,1579748386804
82,0,0,1579748386824
82,0,0,1579748386844
82,0,0,1579748386864
82,0,0,1579748386884
82,0,0,1579748386904
82,0,0,1579748386924
82,0,0,1579748386944
83,0,0,1579748386964
83,0,0,1579748386984
83,0,0,1579748387004
83,0,0,1579748387024
83,0,0,1579748387044
83,0,0,1579748387064
83,0,0,1579748387084
83,0,0,1579748387104
83,0,0,1579748387124
83,0,0,1579748387144
82,0,0,1579748387164
82,0,0,1579748387184
82,0,0,1579748387204
82,0,0,1579748387224
82,0,0,1579748387244
82,0,0,1579748387264
82,0,0,1579748387284
82,0,0,1579748387304
82,0,0,1579748387324
82,0,0,1579748387344
82,0,0,1579748387364
82,0,0,1579748387384
82,0,0,1579748387404
82,0,0,1579748387424
82,0,0,1579748387444
82,0,0,1579748387464
82,0,0,1579748387484
82,0,0,1579748387504
82,0,0,1579748387524
82,0,0,1579748387544
82,0,0,1579748387564
82,0,0,1579748387584
82,0,0,1579748387604
82,0,0,1579748387624
82,0,0,1579748387644
82,0,0,1579748387664
82,0,0,1579748387684
82,0,0,1579748387704
82,0,0,1579748387724
82,0,0,1579748387744
82,0,0,1579748387764
82,0,0,1579748387784
82,0,0,1579748387804
82,0,0,1579748387824
82,0,0,1579748387844
